class,uniprot_id,name
negative,A0A0D0UX96,A0A0D0UX96_9TREE beta-glucosidase OS=Cryptococcus deuterogattii Ram5 OX=1296110 GN=I313_03850 PE=3 SV=1
positive,A0A397GI33,A0A397GI33_ASPTH beta-glucosidase OS=Aspergillus thermomutatus OX=41047 GN=CDV56_100259 PE=3 SV=1
negative,A0A8H7I5M0,A0A8H7I5M0_9AGAM beta-glucosidase OS=Rhizoctonia solani OX=456999 GN=RHS01_08208 PE=3 SV=1
positive,A0A1C5PQ44,A0A1C5PQ44_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_3 PE=3 SV=1
negative,A0AAD8IPK5,A0AAD8IPK5_9APIA beta-glucosidase OS=Heracleum sosnowskyi OX=360622 GN=POM88_017947 PE=4 SV=1
positive,A0A564VAA4,A0A564VAA4_9BIFI Thermostable beta-glucosidase B OS=Bifidobacterium catenulatum OX=1686 GN=bglB_1 PE=3 SV=1
negative,A0A395N127,A0A395N127_9HYPO beta-glucosidase OS=Fusarium flagelliforme OX=2675880 GN=FIE12Z_1875 PE=3 SV=1
positive,A0A662I0K1,A0A662I0K1_9CREN beta-glucosidase (Fragment) OS=Thermoprotei archaeon OX=2250277 GN=DRJ46_00375 PE=4 SV=1
negative,A0A401M2R2,A0A401M2R2_9ACTN Beta-glucosidase OS=Streptomyces sp. NL15-2K OX=376149 GN=SNL152K_121 PE=4 SV=1
positive,O08324,O08324_9EURY Beta-glucosidase OS=Thermococcus sp OX=35749 GN=bglT PE=3 SV=1
negative,A0A1I1GPD1,A0A1I1GPD1_9BACT Beta-glucosidase OS=Spirosoma endophyticum OX=662367 GN=SAMN05216167_101524 PE=3 SV=1
positive,Q08S21,Q08S21_STIAD Thermostable beta-glucosidase B OS=Stigmatella aurantiaca (strain DW4/3-1) OX=378806 GN=STIAU_7448 PE=3 SV=1
negative,A0A7Z0NSH8,A0A7Z0NSH8_9ACTN Beta-glucosidase OS=Salinispora sp. H7-4 OX=2748321 GN=HW126_21825 PE=3 SV=1
positive,A0A840PF62,A0A840PF62_9ACTN beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_005844 PE=4 SV=1
negative,D1BX60,D1BX60_XYLCX Beta-galactosidase OS=Xylanimonas cellulosilytica (strain DSM 15894 / JCM 12276 / CECT 5975 / KCTC 9989 / LMG 20990 / NBRC 107835 / XIL07) OX=446471 GN=Xcel_2614 PE=3 SV=1
positive,A0A564U530,A0A564U530_9FIRM Thermostable beta-glucosidase B OS=Dorea formicigenerans OX=39486 GN=bglB_3 PE=3 SV=1
negative,A0A1C5U7A5,A0A1C5U7A5_9FIRM Beta-glucosidase OS=uncultured Faecalibacterium sp OX=259315 GN=bglA_2 PE=3 SV=1
positive,Q9JRQ1,Q9JRQ1_THEET beta-glucosidase OS=Thermoanaerobacter ethanolicus OX=1757 GN=xarB PE=3 SV=1
negative,A0A0H3D7L6,A0A0H3D7L6_AMYMU beta-glucosidase OS=Amycolatopsis mediterranei (strain U-32) OX=749927 GN=bglX PE=4 SV=1
positive,A0A143XIN3,A0A143XIN3_9BACT Thermostable beta-glucosidase B OS=Alistipes sp. CHKCI003 OX=1780376 GN=bglB PE=3 SV=1
negative,A0A4R3VFW3,A0A4R3VFW3_ROSSA Beta-glucosidase OS=Roseateles saccharophilus OX=304 GN=EV671_100162 PE=3 SV=1
positive,G0SG87,G0SG87_CHATD beta-glucosidase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065450 PE=3 SV=1
negative,A0AA46CB35,A0AA46CB35_9XANT beta-glucosidase OS=Xanthomonas euroxanthea OX=2259622 GN=CPBF424_33530 PE=3 SV=1
positive,A0A2N7QTF4,A0A2N7QTF4_9GAMM Thermostable beta-glucosidase B OS=Dyella sp. AD56 OX=1528744 GN=bglB_1 PE=3 SV=1
negative,A0A540M5U0,A0A540M5U0_MALBA beta-glucosidase OS=Malus baccata OX=106549 GN=C1H46_020322 PE=4 SV=1
positive,A0A1P7YD46,A0A1P7YD46_THEBR beta-glucosidase (Fragment) OS=Thermoanaerobacter brockii OX=29323 GN=cglT PE=3 SV=1
negative,A0A8S1QM52,A0A8S1QM52_PARPR beta-glucosidase OS=Paramecium primaurelia OX=5886 GN=PPRIM_AZ9-3.1.T1690050 PE=4 SV=1
positive,A0A173T5U6,A0A173T5U6_9FIRM Thermostable beta-glucosidase B OS=Anaerobutyricum hallii OX=39488 GN=bglB PE=4 SV=1
negative,A0A371KMW9,A0A371KMW9_9EURY beta-glucosidase OS=Haloferax sp. Atlit-24N OX=2077200 GN=C5B88_12540 PE=4 SV=1
positive,A0A2M9NHA2,A0A2M9NHA2_9BACL Thermostable beta-glucosidase B OS=Paenibacillus sp. GM1FR OX=2059267 GN=bglB_2 PE=3 SV=1
negative,A0A9D5Y5L8,A0A9D5Y5L8_9FIRM beta-glucosidase OS=Oscillospiraceae bacterium OX=2485925 GN=E7590_05715 PE=3 SV=1
positive,A0A7G9QX56,A0A7G9QX56_9GAMM beta-glucosidase OS=Thermomonas brevis OX=215691 GN=H9L17_07355 PE=4 SV=1
negative,A0A268AX52,A0A268AX52_9BACL beta-glucosidase OS=Paenibacillus sp. 7523-1 OX=2022550 GN=CHH60_23710 PE=3 SV=1
positive,A0A5J4QEY3,A0A5J4QEY3_9ZZZZ Thermostable beta-glucosidase B OS=termite gut metagenome OX=433724 GN=EZS27_030379 PE=3 SV=1
negative,A0A9D5MW07,A0A9D5MW07_9FIRM beta-glucosidase OS=Lachnospiraceae bacterium OX=1898203 GN=E7255_10245 PE=4 SV=1
positive,A0A7G1H0V7,A0A7G1H0V7_9BACT Beta-glycosidase subunit A OS=Dissulfurispira thermophila OX=2715679 GN=JZK55_02290 PE=3 SV=1
negative,A0A931EYJ4,A0A931EYJ4_STROV beta-glucosidase (Fragment) OS=Streptomyces olivaceus OX=47716 GN=IW294_35595 PE=4 SV=1
positive,A0A161XFP0,A0A161XFP0_9CELL Thermostable beta-glucosidase B OS=Oerskovia enterophila OX=43678 GN=bglB_5 PE=3 SV=1
negative,A0A412H268,A0A412H268_9BACT beta-glucosidase OS=Phocaeicola plebeius OX=310297 GN=DWY14_14945 PE=4 SV=1
positive,A0A3B9QMK0,A0A3B9QMK0_9BACT beta-glucosidase OS=Candidatus Acetothermia bacterium OX=2053493 GN=DCL37_02455 PE=3 SV=1
negative,A0A3S0EJH5,A0A3S0EJH5_9BURK Beta-glucosidase OS=Burkholderiales bacterium OX=1891238 GN=EKK53_11470 PE=3 SV=1
positive,A0A485CQV2,A0A485CQV2_RAOPL Thermostable beta-glucosidase B OS=Raoultella planticola OX=575 GN=bglB PE=3 SV=1
negative,A0A438MV26,A0A438MV26_EXOME beta-glucosidase OS=Exophiala mesophila OX=212818 GN=B0A52_08141 PE=3 SV=1
positive,A0A1C6EW32,A0A1C6EW32_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_5 PE=3 SV=1
negative,A0AAP1LFL2,A0AAP1LFL2_9XANT Beta-glucosidase OS=Xanthomonas arboricola OX=56448 GN=FHR65_003984 PE=4 SV=1
positive,A0A1C5SJI7,A0A1C5SJI7_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_15 PE=3 SV=1
negative,A0A7K2MXY9,A0A7K2MXY9_9ACTN beta-glucosidase (Fragment) OS=Streptomyces sp. SID6013 OX=2690317 GN=GTW46_31920 PE=4 SV=1
positive,A0A174CPY8,A0A174CPY8_9FIRM Thermostable beta-glucosidase B OS=Blautia obeum OX=40520 GN=bglB_2 PE=3 SV=1
negative,A0A9D7WNH8,A0A9D7WNH8_9FLAO beta-glucosidase OS=Flavobacteriales bacterium OX=2021391 GN=ISQ99_07105 PE=3 SV=1
positive,A0A1G7I8G4,A0A1G7I8G4_THETY beta-glucosidase OS=Thermoanaerobacter thermohydrosulfuricus OX=1516 GN=SAMN04244560_00228 PE=3 SV=1
negative,A0A5A7P2C1,A0A5A7P2C1_STRAF beta-glucosidase OS=Striga asiatica OX=4170 GN=STAS_02649 PE=4 SV=1
positive,Q746L1,Q746L1_THET2 Beta-glucosidase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_P0042 PE=3 SV=1
negative,A0A8H5BUB3,A0A8H5BUB3_9AGAR beta-glucosidase OS=Psilocybe cf. subviscida OX=2480587 GN=D9619_009183 PE=3 SV=1
positive,A0A1C5UJW6,A0A1C5UJW6_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_3 PE=3 SV=1
negative,A0A2V4EA45,A0A2V4EA45_9GAMM beta-glucosidase OS=Gilliamella apicola OX=1196095 GN=DKK70_04720 PE=4 SV=1
positive,A0A174Q2I6,A0A174Q2I6_9FIRM Thermostable beta-glucosidase B OS=Blautia obeum OX=40520 GN=bglB_3 PE=3 SV=1
negative,A0A0F0IBM2,A0A0F0IBM2_ASPPU beta-glucosidase OS=Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1) OX=1403190 GN=P875_00033740 PE=3 SV=1
positive,A0A7C7A9A2,A0A7C7A9A2_THESB beta-glucosidase (Fragment) OS=Thermoanaerobacter sp OX=1755 GN=GX516_07470 PE=3 SV=1
negative,A0A2N1RB47,A0A2N1RB47_9SPIR Beta-glucosidase OS=Spirochaetae bacterium HGW-Spirochaetae-8 OX=2013840 GN=CVV52_17850 PE=3 SV=1
positive,A0A840P274,A0A840P274_9ACTN Beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_001746 PE=3 SV=1
negative,A0A2E0WZJ2,A0A2E0WZJ2_9PLAN Beta-glucosidase OS=Planctomycetaceae bacterium OX=2026779 GN=CMJ58_05975 PE=3 SV=1
positive,A0A1V5RXW6,A0A1V5RXW6_9FIRM Thermostable beta-glucosidase B OS=Firmicutes bacterium ADurb.Bin300 OX=1852888 GN=bglB PE=3 SV=1
negative,A0A060LXM6,A0A060LXM6_9BACI beta-glucosidase OS=Shouchella lehensis G1 OX=1246626 GN=BleG1_3469 PE=4 SV=1
positive,A0A0U5NX53,A0A0U5NX53_9CLOT Thermostable beta-glucosidase B OS=Clostridium sp. C105KSO13 OX=1776045 GN=bglB_3 PE=3 SV=1
negative,A0A060CAC7,A0A060CAC7_9SACH beta-glucosidase (Fragment) OS=uncultured Pichia OX=747082 PE=3 SV=1
positive,A0A660RQ87,A0A660RQ87_9THEM beta-glucosidase (Fragment) OS=Thermotoga sp OX=28240 GN=DRP50_00220 PE=4 SV=1
negative,A0A0K2ZQK2,A0A0K2ZQK2_XANCT beta-glucosidase OS=Xanthomonas translucens pv. phlei OX=487906 GN=XTPLMG730_1478 PE=4 SV=1
positive,B0KCV1,B0KCV1_THEP3 beta-glucosidase OS=Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E) OX=340099 GN=Teth39_1927 PE=3 SV=1
negative,A0A3M7G9R0,A0A3M7G9R0_HORWE Probable beta-glucosidase G OS=Hortaea werneckii OX=91943 GN=D0862_12653 PE=3 SV=1
positive,D0MHL4,D0MHL4_RHOM4 beta-glucosidase OS=Rhodothermus marinus (strain ATCC 43812 / DSM 4252 / R-10) OX=518766 GN=Rmar_1080 PE=3 SV=1
negative,A0AA39WMD5,A0AA39WMD5_9PEZI beta-glucosidase OS=Bombardia bombarda OX=252184 GN=B0T17DRAFT_495621 PE=3 SV=1
positive,A0A173S4H3,A0A173S4H3_9FIRM Thermostable beta-glucosidase B OS=Faecalibacterium prausnitzii OX=853 GN=bglB PE=3 SV=1
negative,A0AAD6IBV1,A0AAD6IBV1_PENCN Probable alpha/beta-glucosidase agdC OS=Penicillium canescens OX=5083 GN=N7460_004458 PE=3 SV=1
positive,A0A662G489,A0A662G489_9CREN beta-glucosidase (Fragment) OS=Thermoprotei archaeon OX=2250277 GN=DRJ45_09540 PE=3 SV=1
negative,A0A940QZ17,A0A940QZ17_9BACT beta-glucosidase (Fragment) OS=Chitinophagaceae bacterium OX=1869212 GN=J7527_10460 PE=4 SV=1
positive,A9UFC7,A9UFC7_THEAU beta-glucosidase OS=Thermoascus aurantiacus var. levisporus OX=306553 GN=bgl1 PE=3 SV=1
negative,A0A8H3GEV3,A0A8H3GEV3_9AGAM beta-glucosidase OS=Rhizoctonia solani OX=456999 GN=RDB_LOCUS138884 PE=3 SV=1
positive,A0A1C5LY97,A0A1C5LY97_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_1 PE=3 SV=1
negative,H7FPB4,H7FPB4_FLAFP beta-glucosidase OS=Flavobacterium frigoris (strain PS1) OX=1086011 GN=HJ01_01012 PE=4 SV=1
positive,A0A1V0DJ43,A0A1V0DJ43_9BACT beta-glucosidase OS=Rhodothermaceae bacterium RA OX=1779382 GN=AWN76_006445 PE=3 SV=1
negative,A0A1E5RPW2,A0A1E5RPW2_HANUV beta-glucosidase OS=Hanseniaspora uvarum OX=29833 GN=AWRI3580_g2160 PE=3 SV=1
positive,A0A645EQQ8,A0A645EQQ8_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_13 PE=3 SV=1
negative,A0A8J2ZUG4,A0A8J2ZUG4_9BACL beta-glucosidase OS=Pullulanibacillus pueri OX=1437324 GN=GCM10007096_11990 PE=3 SV=1
positive,A0A239ASQ1,A0A239ASQ1_9RHOB Beta-glucosidase OS=Antarctobacter heliothermus OX=74033 GN=SAMN04488078_100175 PE=3 SV=1
negative,A0A2S3II49,A0A2S3II49_9POAL beta-glucosidase OS=Panicum hallii OX=206008 GN=PAHAL_9G087300 PE=4 SV=1
positive,A0A1C6BKS2,A0A1C6BKS2_9FIRM Thermostable beta-glucosidase B OS=uncultured Blautia sp OX=765821 GN=bglB_1 PE=3 SV=1
negative,A0A167S2X3,A0A167S2X3_PENCH Probable beta-glucosidase L OS=Penicillium chrysogenum OX=5076 GN=EN45_052640 PE=3 SV=1
positive,A0A223HVE6,A0A223HVE6_THETR beta-glucosidase OS=Thermoanaerobacterium thermosaccharolyticum OX=1517 GN=gluA PE=3 SV=1
negative,X0MEY6,X0MEY6_FUSOX Probable beta-glucosidase G OS=Fusarium oxysporum f. sp. vasinfectum 25433 OX=1089449 GN=FOTG_12773 PE=3 SV=1
positive,A0A1V6AL12,A0A1V6AL12_9FIRM Thermostable beta-glucosidase B OS=Firmicutes bacterium ADurb.Bin146 OX=1852882 GN=bglB_3 PE=3 SV=1
negative,A0A917VTV1,A0A917VTV1_9ACTN beta-glucosidase OS=Sphaerisporangium melleum OX=321316 GN=GCM10007964_64640 PE=3 SV=1
positive,A0A7U9XQ13,A0A7U9XQ13_9FIRM Thermostable beta-glucosidase B OS=Lachnospiraceae bacterium OX=1898203 GN=bglB_2 PE=3 SV=1
negative,A0A062VVQ8,A0A062VVQ8_9MICO Beta-glucosidase OS=Microbacterium sp. CH12i OX=1479651 GN=DC31_10220 PE=3 SV=1
positive,A0A7V2B032,A0A7V2B032_RHOMR beta-glucosidase OS=Rhodothermus marinus OX=29549 GN=bglX PE=3 SV=1
negative,A0A6X4LX37,A0A6X4LX37_LISMN beta-glucosidase OS=Listeria monocytogenes OX=1639 GN=GIH49_04385 PE=4 SV=1
positive,A0A9E8ZFS7,A0A9E8ZFS7_9CYAN Family 1 glycosylhydrolase OS=Thermocoleostomius sinensis A174 OX=2016057 GN=OXH18_00045 PE=3 SV=1
negative,A0A089IAX7,A0A089IAX7_9BACL beta-glucosidase OS=Paenibacillus sp. FSL H7-0357 OX=1536774 GN=H70357_30725 PE=4 SV=1
positive,A0A7C6PZL9,A0A7C6PZL9_THESZ beta-glucosidase OS=Thermoanaerobacterium sp OX=40549 GN=GXX41_12585 PE=3 SV=1
negative,A0A0P1AT00,A0A0P1AT00_PLAHL beta-glucosidase OS=Plasmopara halstedii OX=4781 PE=4 SV=1
positive,A0A848VKL6,A0A848VKL6_9BACT beta-glucosidase OS=Rhodothermales bacterium OX=2306054 GN=HKN29_05685 PE=3 SV=1
negative,A0A9Q4Q154,A0A9Q4Q154_9EURY beta-glucosidase OS=Natrinema salsiterrestre OX=2950540 GN=NDI89_14680 PE=4 SV=1
positive,A0A161XG36,A0A161XG36_9CELL Thermostable beta-glucosidase B OS=Oerskovia enterophila OX=43678 GN=bglB_3 PE=3 SV=1
negative,I0GT87,I0GT87_SELRL beta-glucosidase OS=Selenomonas ruminantium subsp. lactilytica (strain NBRC 103574 / TAM6421) OX=927704 GN=bglX PE=4 SV=1
positive,A0A9E2S2X9,A0A9E2S2X9_9GAMM Beta-glucosidase OS=Thermomonas sp OX=1971895 GN=KUL77_07775 PE=3 SV=1
negative,A0A2L0EX70,A0A2L0EX70_SORCE Beta-glucosidase OS=Sorangium cellulosum OX=56 GN=bglX PE=3 SV=1
positive,A0A1V6BBW9,A0A1V6BBW9_9BACT Thermostable beta-glucosidase B OS=Bacteroidetes bacterium ADurb.Bin145 OX=1852807 GN=bglB PE=3 SV=1
negative,A0A945PIV6,A0A945PIV6_9GAMM beta-glucosidase OS=Porticoccaceae bacterium OX=2026782 GN=HOM20_00370 PE=4 SV=1
positive,A0A0M0EGP5,A0A0M0EGP5_KOMEU Thermostable beta-glucosidase B OS=Komagataeibacter europaeus OX=33995 GN=bglB1 PE=3 SV=1
negative,A0A2T7QC57,A0A2T7QC57_9BACT beta-glucosidase OS=Terrimonas sp OX=1914338 GN=DC498_08290 PE=4 SV=1
positive,A0A163RXG5,A0A163RXG5_9CELL Thermostable beta-glucosidase B OS=Oerskovia enterophila OX=43678 GN=bglB_2 PE=3 SV=1
negative,A0A921RJ21,A0A921RJ21_SORBI Beta-glucosidase OS=Sorghum bicolor OX=4558 GN=BDA96_03G419700 PE=3 SV=1
positive,A0A1H1I2G0,A0A1H1I2G0_9ACTN Beta-glucosidase OS=Thermostaphylospora chromogena OX=35622 GN=SAMN04489764_5107 PE=3 SV=1
negative,A0A3M9YTC4,A0A3M9YTC4_9SPHN beta-glucosidase OS=Porphyrobacter sp. IPPAS B-1204 OX=2483793 GN=EDM03_04550 PE=4 SV=1
positive,P96090,P96090_THEBR beta-glucosidase OS=Thermoanaerobacter brockii OX=29323 GN=xglS PE=3 SV=1
negative,A0A7D7BRL8,A0A7D7BRL8_9BACE beta-glucosidase OS=Bacteroides sp. CACC 737 OX=2755405 GN=bglX PE=3 SV=1
positive,A0A245ZMR4,A0A245ZMR4_9SPHN Thermostable beta-glucosidase B OS=Sphingomonas dokdonensis OX=344880 GN=bglB PE=3 SV=1
negative,A0A8K1FFJ3,A0A8K1FFJ3_PYTOL beta-glucosidase OS=Pythium oligandrum OX=41045 GN=Poli38472_000658 PE=4 SV=1
positive,A0A1V4IVD0,A0A1V4IVD0_9CLOT Thermostable beta-glucosidase B OS=Clostridium oryzae OX=1450648 GN=bglB_4 PE=3 SV=1
negative,A0A7J9ZTS3,A0A7J9ZTS3_9ACTN beta-glucosidase OS=Streptosporangiales bacterium OX=2604148 GN=GEV11_23050 PE=4 SV=1
positive,A0A1C6K147,A0A1C6K147_9FIRM Thermostable beta-glucosidase B OS=uncultured Lachnospira sp OX=446043 GN=bglB_2 PE=3 SV=1
negative,A0A965QNG9,A0A965QNG9_UNCPS beta-glucosidase OS=Pseudomonadota bacterium OX=1977087 GN=EBR50_01120 PE=3 SV=1
positive,A0A1C5RVP4,A0A1C5RVP4_9CLOT Thermostable beta-glucosidase B OS=uncultured Clostridium sp OX=59620 GN=bglB_3 PE=3 SV=1
negative,A0A495L6P2,A0A495L6P2_9ACTN Beta-glucosidase OS=Nocardiopsis sp. Huas11 OX=2183912 GN=DFP74_4025 PE=3 SV=1
positive,A0A173YZ22,A0A173YZ22_9FIRM Thermostable beta-glucosidase B OS=Blautia wexlerae OX=418240 GN=bglB_3 PE=3 SV=1
negative,A0A344LLX7,A0A344LLX7_9PSEU beta-glucosidase OS=Amycolatopsis albispora OX=1804986 GN=A4R43_35125 PE=3 SV=1
positive,A0A662IEH2,A0A662IEH2_9CREN beta-glucosidase OS=Thermoprotei archaeon OX=2250277 GN=DRJ57_01675 PE=3 SV=1
negative,A0A9W4UDW2,A0A9W4UDW2_9PLEO beta-glucosidase OS=Periconia digitata OX=1303443 GN=PDIGIT_LOCUS6259 PE=3 SV=1
positive,A0A1V2RG28,A0A1V2RG28_9ACTN Thermostable beta-glucosidase B OS=Streptomyces sp. MP131-18 OX=1857892 GN=STBA_20840 PE=3 SV=1
negative,A0A248VUX3,A0A248VUX3_9BURK Beta-glucosidase OS=Paraburkholderia aromaticivorans OX=2026199 GN=CJU94_32935 PE=3 SV=1
positive,A0A6P1PX67,A0A6P1PX67_9GAMM Thermostable beta-glucosidase B OS=Mixta intestinalis OX=1615494 GN=bglB_1 PE=3 SV=1
negative,A0A1A9D1L1,A0A1A9D1L1_9ACTN beta-glucosidase OS=Streptomyces sp. Ncost-T6T-1 OX=1100828 GN=YW5DRAFT_05510 PE=4 SV=1
positive,A0A644ZND2,A0A644ZND2_9ZZZZ Thermostable beta-glucosidase B OS=bioreactor metagenome OX=1076179 GN=bglB_9 PE=3 SV=1
negative,A0A7J5GXS2,A0A7J5GXS2_BACUN beta-glucosidase OS=Bacteroides uniformis OX=820 GN=GAQ44_13625 PE=3 SV=1
positive,A0A6N2ZWM8,A0A6N2ZWM8_9FIRM Thermostable beta-glucosidase B OS=Hungatella hathewayi OX=154046 GN=bglB_4 PE=3 SV=1
negative,A0A351ITS7,A0A351ITS7_9ACTN beta-glucosidase (Fragment) OS=Acidimicrobiaceae bacterium OX=2024894 GN=DCY87_01595 PE=3 SV=1
positive,A0A7U9N1G3,A0A7U9N1G3_9FIRM Thermostable beta-glucosidase B OS=Lachnospiraceae bacterium OX=1898203 GN=bglB PE=3 SV=1
negative,A0A4R7D5E0,A0A4R7D5E0_9SPHI beta-glucosidase OS=Sphingobacterium paludis OX=1476465 GN=B0I21_10293 PE=3 SV=1
positive,A0A0U9HXB8,A0A0U9HXB8_9BACT Beta-glucosidase OS=Thermodesulfovibrio aggregans OX=86166 GN=TAGGR_1553 PE=3 SV=1
negative,A0A7W8WYY4,A0A7W8WYY4_9MICC Beta-glucosidase OS=Neomicrococcus aestuarii OX=556325 GN=HD598_000432 PE=3 SV=1
positive,A0A060C9W2,A0A060C9W2_9THEO beta-glucosidase (Fragment) OS=uncultured Thermoanaerobacter sp OX=242695 PE=4 SV=1
negative,A0A8T1NLL3,A0A8T1NLL3_CARIL beta-glucosidase OS=Carya illinoinensis OX=32201 GN=CIPAW_13G046200 PE=4 SV=1
positive,A0AAC9D469,A0AAC9D469_9FLAO Thermostable beta-glucosidase B OS=Flavobacterium anhuiense OX=459526 GN=bglB_2 PE=3 SV=1
negative,A0A7Y9PDM9,A0A7Y9PDM9_9BACT Beta-glucosidase OS=Granulicella arctica OX=940613 GN=HDF17_000077 PE=4 SV=1
positive,A0A399F6L7,A0A399F6L7_9DEIN Beta-glucosidase OS=Meiothermus granaticius NBRC 107808 OX=1227551 GN=bglA_2 PE=3 SV=1
negative,A0A349QND1,A0A349QND1_9FIRM beta-glucosidase OS=Roseburia sp OX=2049040 GN=DCS73_03390 PE=3 SV=1
positive,A0A0F0LE88,A0A0F0LE88_9MICO Thermostable beta-glucosidase B OS=Microbacterium oxydans OX=82380 GN=bglB_2 PE=3 SV=1
negative,A0AAF6AP68,A0AAF6AP68_MARPO beta-glucosidase OS=Marchantia polymorpha subsp. ruderalis OX=1480154 GN=Mp_1g11940 PE=4 SV=1
positive,A0A2M8Q8K6,A0A2M8Q8K6_9CHLR beta-glucosidase (Fragment) OS=Candidatus Thermofonsia Clade 3 bacterium OX=2364212 GN=CUN48_15360 PE=3 SV=1
negative,Q3Y0M8,Q3Y0M8_ENTFD Beta-glucosidase OS=Enterococcus faecium (strain ATCC BAA-472 / TX0016 / DO) OX=333849 GN=bglH PE=3 SV=1
positive,A0A1C6I2F0,A0A1C6I2F0_9FIRM Thermostable beta-glucosidase B OS=uncultured Ruminococcus sp OX=165186 GN=bglB_4 PE=3 SV=1
negative,A0A9P7RHZ6,A0A9P7RHZ6_9PEZI beta-glucosidase OS=Colletotrichum scovillei OX=1209932 GN=JMJ77_008345 PE=3 SV=1
positive,A0A448L7K9,A0A448L7K9_9BACT Thermostable beta-glucosidase B OS=Segatella oris OX=28135 GN=bglB_2 PE=3 SV=1
negative,A0A7Y2EEC7,A0A7Y2EEC7_9FLAO beta-glucosidase OS=Flavobacteriaceae bacterium OX=1871037 GN=bglX PE=3 SV=1
positive,A0A831UHV1,A0A831UHV1_9DEIN Beta-glucosidase OS=Thermus islandicus OX=540988 GN=ENP09_04430 PE=3 SV=1
negative,A0A975SJ66,A0A975SJ66_9MICO Beta-glucosidase OS=Subtercola sp. PAMC28395 OX=2846775 GN=KPL76_06955 PE=3 SV=1
positive,Q8GEB3,Q8GEB3_THETH Beta-glucosidase OS=Thermus thermophilus OX=274 PE=1 SV=1
negative,A0A853D5C0,A0A853D5C0_9MICO Beta-glucosidase OS=Leifsonia shinshuensis OX=150026 GN=HNR13_004112 PE=3 SV=1
positive,A0A174ARQ1,A0A174ARQ1_9FIRM Thermostable beta-glucosidase B OS=Fusicatenibacter saccharivorans OX=1150298 GN=bglB_2 PE=3 SV=1
negative,A0A430EJ85,A0A430EJ85_9SPHN beta-glucosidase OS=Sphingomonas sp. ABOLE OX=1985878 GN=CA234_10540 PE=3 SV=1
positive,A0A7C2GF36,A0A7C2GF36_DICTH Beta-glucosidase OS=Dictyoglomus thermophilum OX=14 GN=ENU78_08575 PE=3 SV=1
negative,A0A1X7I788,A0A1X7I788_9BACT beta-glucosidase OS=Marivirga sericea OX=1028 GN=SAMN05661096_00254 PE=3 SV=1
positive,A0A840P379,A0A840P379_9ACTN Beta-glucosidase OS=Thermocatellispora tengchongensis OX=1073253 GN=HNP84_005488 PE=3 SV=1
negative,F1BWY2,F1BWY2_GOSHI beta-glucosidase OS=Gossypium hirsutum OX=3635 GN=BG PE=4 SV=1
positive,A0A173W5H3,A0A173W5H3_9FIRM Thermostable beta-glucosidase B OS=Dorea longicatena OX=88431 GN=bglB_1 PE=3 SV=1
negative,A0A2A4TGQ5,A0A2A4TGQ5_9FLAO beta-glucosidase OS=Flavobacteriaceae bacterium OX=1871037 GN=COB60_08875 PE=3 SV=1
positive,A0A7V9MFG0,A0A7V9MFG0_9ACTN Family 1 glycosylhydrolase OS=Thermoleophilaceae bacterium OX=2732252 GN=H0V03_02590 PE=3 SV=1
negative,A0A845GW90,A0A845GW90_9BURK beta-glucosidase OS=Duganella vulcania OX=2692166 GN=GTP90_24080 PE=3 SV=1
positive,A0AAQ2Z800,A0AAQ2Z800_9FIRM Thermostable beta-glucosidase B OS=Roseburia intestinalis L1-82 OX=536231 GN=bglB_7 PE=4 SV=1
negative,A0A2W4JIS5,A0A2W4JIS5_UNCAC Beta-glucosidase OS=Actinomycetes bacterium OX=1883427 GN=DIU73_02885 PE=3 SV=1
positive,A0A949VI02,A0A949VI02_9CHLR Thermostable beta-glucosidase B OS=Anaerolineales bacterium OX=2073117 GN=bglB_2 PE=3 SV=1
negative,A0A445H1D4,A0A445H1D4_GLYSO beta-glucosidase OS=Glycine soja OX=3848 GN=D0Y65_037681 PE=4 SV=1
positive,Q8GEB1,Q8GEB1_9DEIN Beta-glucosidase OS=Thermus sp. IB-21 OX=206164 PE=3 SV=1
negative,A0A0A2I7N9,A0A0A2I7N9_PENEN beta-glucosidase OS=Penicillium expansum OX=27334 GN=PEX2_037880 PE=3 SV=1
